Provincia,Punto Digital,Actividad,Eje,Categoría,Subcategoría,Menores de 12,De 12 a 20,De 21 a 65,Mayores de 65,Asistentes totales por ejes,% por Ejes,fecha
BUENOS AIRES,Berisso I,Videoconferencia desde Punto Digital de Los Cocos: dispositivos para adultos mayores,Videoconferencias,Otra videoconferencia,--,0,0,5,5,10,0.00 %,2021-01-01
BUENOS AIRES,Berisso I,Inscripcion a policia Bonaerense,Servicio municipal,Otros,--,0,60,40,0,100,0.03 %,2021-01-01
BUENOS AIRES,Berisso I,App Mi Argentina,Trámites,Trámites en general,Constancia de inscripción,0,0,25,15,40,0.01 %,2021-01-01
BUENOS AIRES,Berisso I,Inscripciones Vacunate Covid 19,Trámites,Trámites en general,Constancia de inscripción,0,30,50,0,80,0.03 %,2021-01-01
BUENOS AIRES,Carmen de Patagones,telemedicina virtual,Servicio municipal,Actividades municipales,--,0,8,32,10,50,0.02 %,2021-01-01
BUENOS AIRES,Coronel Suárez I (Colonia Santa María),Navegación Libre en Internet 2021,@prender la compu,Navegación libre,--,6,3,4,3,16,0.01 %,2021-01-01
BUENOS AIRES,Coronel Suárez I (Colonia Santa María),Consultas sobre Computación + Celulares 2021,@prender la compu,Otros,--,0,0,4,0,4,0.00 %,2021-01-01
BUENOS AIRES,Coronel Suárez I (Colonia Santa María),Turnos y Trámites generales 2021,Trámites,Trámites en general,Constancia de inscripción,0,0,8,7,15,0.00 %,2021-01-01
BUENOS AIRES,Coronel Suárez I (Colonia Santa María),Apoyo Escolar + Secundaria Online 2021,Aprendé más,Apoyo escolar,--,0,0,0,0,0,0.00 %,2021-01-01
BUENOS AIRES,Coronel Suarez II (CTC),Cursos IPAP,Servicio municipal,Capacitación,--,0,0,124,0,124,0.04 %,2021-01-01
BUENOS AIRES,Coronel Suarez II (CTC),Programa Terminá la Secundaria,Aprendé más,Otros,--,0,0,18,0,18,0.01 %,2021-01-01
BUENOS AIRES,Coronel Suarez II (CTC),Realización de Trámites Online,Servicio municipal,Otros,--,0,0,294,22,316,0.10 %,2021-01-01
BUENOS AIRES,Dolores (CAJ),Videoconferencia desde Punto Digital de Los Cocos: dispositivos para adultos mayores,Videoconferencias,Otra videoconferencia,--,0,0,35,12,47,0.01 %,2021-01-01
BUENOS AIRES,General Rodríguez,Capacitación CONAMI,Servicio municipal,Capacitación,--,0,0,15,0,15,0.00 %,2021-01-01
BUENOS AIRES,General Rodríguez,Programa Jóvenes con más y mejor trabajo,Servicio municipal,Capacitación,--,0,0,8,0,8,0.00 %,2021-01-01
BUENOS AIRES,La Matanza II (Villa Palito),App Mi Argentina,Trámites,Trámites Mi Argentina,Otros,2,6,40,11,59,0.02 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),Videoconferencia desde Punto Digital de Los Cocos: dispositivos para adultos mayores,Videoconferencias,Otra videoconferencia,--,0,1,1,0,2,0.00 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO – AUXILIAR CONTABLE,Videoconferencias,Otra videoconferencia,--,0,0,0,0,0,0.00 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO - EXCEL BÁSICO,Videoconferencias,Otra videoconferencia,--,0,0,0,0,0,0.00 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO - ILLUSTRATOR INICIAL,Videoconferencias,Otra videoconferencia,--,0,0,24,0,24,0.01 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO - PHOTOSHOP INICIAL,Videoconferencias,Otra videoconferencia,--,3,27,27,3,60,0.02 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO – FOTOGRAFIA ARTISTICA,Videoconferencias,Otra videoconferencia,--,0,3,20,0,23,0.01 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO - RECURSOS ADMINISTRATIVOS,Videoconferencias,Otra videoconferencia,--,0,13,133,0,146,0.05 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),TALLER DE VERANO – DISEÑOS DE TRAJES DE BAÑO AL CROCHET,Videoconferencias,Otra videoconferencia,--,0,7,18,0,25,0.01 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO - OPERADOR DE PC,Videoconferencias,Otra videoconferencia,--,2,8,50,0,60,0.02 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),CURSO DE VERANO - DISEÑO GRÁFICO (CANVA),Videoconferencias,Otra videoconferencia,--,4,2,34,0,40,0.01 %,2021-01-01
BUENOS AIRES,Marcos Paz I (CIC),TALLER DE VERANO - ANIMACIÓN,Videoconferencias,Otra videoconferencia,--,6,3,0,0,9,0.00 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),Videoconferencia desde Punto Digital de Los Cocos: dispositivos para adultos mayores,Videoconferencias,Otra videoconferencia,--,0,1,1,0,2,0.00 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),CURSO DE VERANO - EDICIÓN DE VIDEO,Videoconferencias,Otra videoconferencia,--,13,38,1,0,52,0.02 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),CURSO DE VERANO - ILLUSTRATOR INICIAL,Videoconferencias,Otra videoconferencia,--,0,8,40,0,48,0.02 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),CURSO DE VERANO - PHOTOSHOP INICIAL,Videoconferencias,Otra videoconferencia,--,3,27,27,3,60,0.02 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),CURSO DE VERANO – FOTOGRAFIA ARTISTICA,Videoconferencias,Otra videoconferencia,--,0,3,20,0,23,0.01 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),CURSO DE VERANO - RECURSOS ADMINISTRATIVOS,Videoconferencias,Otra videoconferencia,--,0,13,133,0,146,0.05 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),TALLER DE VERANO – DISEÑOS DE TRAJES DE BAÑO AL CROCHET,Videoconferencias,Otra videoconferencia,--,0,7,18,0,25,0.01 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),CURSO DE VERANO - OPERADOR DE PC,Videoconferencias,Otra videoconferencia,--,2,8,50,0,60,0.02 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),CURSO DE VERANO - DISEÑO GRÁFICO (CANVA),Videoconferencias,Otra videoconferencia,--,4,2,34,0,40,0.01 %,2021-01-01
BUENOS AIRES,Marcos Paz II (UMI),TALLER DE VERANO - ANIMACIÓN,Videoconferencias,Otra videoconferencia,--,6,3,0,0,9,0.00 %,2021-01-01
BUENOS AIRES,Miramar,"SERVICIO LOCAL DE PROMOCIÓN Y PROYECCIÓN DE LOS DERECHOS DE LOS NIÑOS, NIÑAS Y ADOLESCENTES",Servicio municipal,Articulacion municipales,--,31,48,0,0,79,0.03 %,2021-01-01
BUENOS AIRES,Miramar,PRIMEROS PASOS,Servicio municipal,Articulacion municipales,--,14,0,0,0,14,0.00 %,2021-01-01
BUENOS AIRES,Miramar,Atención Servicio Social,Servicio municipal,Articulacion municipales,--,0,24,41,0,65,0.02 %,2021-01-01
BUENOS AIRES,Miramar,VERANO ATR,Servicio municipal,Otros,--,450,150,0,0,600,0.19 %,2021-01-01
BUENOS AIRES,Pigüé,Videoconferencia desde Punto Digital de Los Cocos: dispositivos para adultos mayores,Videoconferencias,Otra videoconferencia,--,0,7,19,15,41,0.01 %,2021-01-01
BUENOS AIRES,Pigüé,CENS 452 Terminación de Estudios Secundario- Preparación para las instancias de exámenes,Servicio municipal,Capacitación,--,0,35,12,8,55,0.02 %,2021-01-01
BUENOS AIRES,Pigüé,Capacitación a cooperativas de trabajo,Servicio municipal,Capacitación,--,0,25,45,18,88,0.03 %,2021-01-01
BUENOS AIRES,Pigüé,Capacitación a cooperativas de trabajo,Servicio municipal,Capacitación,--,0,15,26,9,50,0.02 %,2021-01-01
BUENOS AIRES,Pigüé,CENS 452 Terminación de Estudios Secundario- Preparación para las instancias de exámenes (copia),Servicio municipal,Capacitación,--,0,18,35,2,55,0.02 %,2021-01-01
BUENOS AIRES,Pigüé,CENS 452 Terminación de Estudios Secundario- Preparación para Ingreso,Servicio municipal,Capacitación,--,0,45,62,26,133,0.04 %,2021-01-01
BUENOS AIRES,Urdampilleta,tramites de afip,Trámites,Trámites AFIP,Consulta SUBE,0,0,5,0,5,0.00 %,2021-01-01
BUENOS AIRES,Urdampilleta,TRAMITES DE ANSES,Trámites,Trámites ANSES,Constancia de inscripción,0,11,15,3,29,0.01 %,2021-01-01
BUENOS AIRES,Urdampilleta,CERTIFICADO DE CIRCULACIÓN,Trámites,Trámites en general,Constancia de inscripción,0,0,8,0,8,0.00 %,2021-01-01
BUENOS AIRES,Urdampilleta,ANSES FECHA DE COBRO,Trámites,Trámites ANSES,Solicitud y renovación de DNI/Pasaporte,0,0,5,0,5,0.00 %,2021-01-01
BUENOS AIRES,Urdampilleta,TALLER DE MANEJO DE CELULAR,Aprendé más,Capacitación en tecnologías,--,0,0,0,1,1,0.00 %,2021-01-01
BUENOS AIRES,Azul,Tramites ONLINE,Trámites,Trámites en general,Constancia de inscripción,0,30,60,30,120,0.04 %,2021-01-01
BUENOS AIRES,Roque Pérez,Cine en el Anden,Servicio municipal,Actividades municipales,--,15,10,25,15,65,0.02 %,2021-01-01
BUENOS AIRES,Roque Pérez,Ciclo de Alucine,Servicio municipal,Actividades municipales,--,30,15,25,13,83,0.03 %,2021-01-01
BUENOS AIRES,Roque Pérez,Tramites online,Trámites,Trámites en general,Constancia de inscripción,0,0,15,20,35,0.01 %,2021-01-01
BUENOS AIRES,Ezeiza,Alfabetización Digital,@prender la compu,Otros,--,10,20,10,10,50,0.02 %,2021-01-01
BUENOS AIRES,Mar del Plata II (Inareps),CONFECCIÓN DE INDUMENTARIA HOSPITALARIA,Manos a la obra,Oficios digitales,--,0,0,12,3,15,0.00 %,2021-01-01
BUENOS AIRES,Mar del Plata II (Inareps),CONFECCIÓN DE INDUMENTARIA HOSPITALARIA,Manos a la obra,Oficios digitales,--,0,0,12,3,15,0.00 %,2021-01-01
BUENOS AIRES,Mar del Plata II (Inareps),CONFECCIÓN DE INDUMENTARIA HOSPITALARIA,Manos a la obra,Oficios digitales,--,0,0,12,3,15,0.00 %,2021-01-01
BUENOS AIRES,Mar del Plata II (Inareps),CONFECCIÓN DE INDUMENTARIA HOSPITALARIA,Manos a la obra,Oficios digitales,--,0,0,12,3,15,0.00 %,2021-01-01
BUENOS AIRES,Mar del Plata II (Inareps),"PRODUCCIÓN DE PLANTINES, HUERTA PRIMAVERA - VERANO: HACIA UNA ALIMENTACIÓN SALUDABLE",Manos a la obra,Oficios digitales,--,0,0,12,3,15,0.00 %,2021-01-01
BUENOS AIRES,Punta Indio,Apoyo Escolar,Aprendé más,Apoyo escolar,--,0,12,0,0,12,0.00 %,2021-01-01
BUENOS AIRES,Punta Indio,Publicidad digital,¿Tenés un proyecto?,Otros,--,0,10,0,0,10,0.00 %,2021-01-01
BUENOS AIRES,Punta Indio,Cine bajo las estrellas,Aprendé más,Otros,--,0,50,0,0,50,0.02 %,2021-01-01
BUENOS AIRES,Punta Indio,Producción musical,Aprendé más,Otros,--,0,15,0,0,15,0.00 %,2021-01-01
BUENOS AIRES,Tres Lomas,Charla de Preparto,Servicio municipal,Articulacion municipales,--,0,0,10,0,10,0.00 %,2021-01-01
BUENOS AIRES,Tres Lomas,Tramites de ANSES,Trámites,Trámites ANSES,Constancia de inscripción,0,0,30,40,70,0.02 %,2021-01-01
BUENOS AIRES,Tres Lomas,Campaña de inscripción al Plan Provincial “Buenos Aires Vacúnate”,Trámites,Trámites en general,Constancia de inscripción,0,0,40,60,100,0.03 %,2021-01-01
BUENOS AIRES,Pehuajó,Centro de Telemedicina del Ministerio de salud de la Provincia de Buenos Aires,Servicio municipal,Actividades municipales,--,0,0,288,0,288,0.09 %,2021-01-01
BUENOS AIRES,La Plata III (CIE),Capacitación en Informática,@prender la compu,Alfabetización digital,--,0,4,2,0,6,0.00 %,2021-01-01
BUENOS AIRES,La Plata III (CIE),Sonido y Grabación,Servicio municipal,"Actividades culturales, deportivas, artísticas",Artísticas y culturales,3,5,2,0,10,0.00 %,2021-01-01
BUENOS AIRES,La Plata III (CIE),Producción musical,Servicio municipal,"Actividades culturales, deportivas, artísticas",Artísticas y culturales,0,0,2,0,2,0.00 %,2021-01-01
BUENOS AIRES,La Plata III (CIE),Espacio de prensa,Servicio municipal,"Actividades culturales, deportivas, artísticas",Artísticas y culturales,0,8,7,0,15,0.00 %,2021-01-01
CHUBUT,Esquel,PROGRAMA ADULTOS 2000,Aprendé más,Otros,--,0,0,3,0,3,0.00 %,2021-01-01
CHUBUT,Esquel,Ecocanje,Servicio municipal,Otros,--,0,0,13,0,13,0.00 %,2021-01-01
CHUBUT,Esquel,PC Libre,@prender la compu,Navegación libre,--,0,0,0,0,0,0.00 %,2021-01-01
CHUBUT,Esquel,Trámites en General,Trámites,Trámites en general,Constancia de inscripción,0,0,5,0,5,0.00 %,2021-01-01
CHUBUT,Esquel,Taller de adolescencia y tecnología,@prender la compu,Otros,--,0,0,0,0,0,0.00 %,2021-01-01
CHUBUT,Esquel,Validación en Argentina.gob.ar,Trámites,Trámites en general,Constancia de inscripción,0,0,1,0,1,0.00 %,2021-01-01
CHUBUT,Los Altares,Tramites Generales,Trámites,Trámites en general,Constancia de inscripción,0,0,2,0,2,0.00 %,2021-01-01
CHUBUT,Los Altares,Navegación Libre,@prender la compu,Navegación libre,--,0,2,15,2,19,0.01 %,2021-01-01
CHUBUT,Los Altares,Espacio de Entretenimiento,Aprendé más,Otros,--,2,4,0,0,6,0.00 %,2021-01-01
CHUBUT,Rawson (Chubut),Videoconferencia desde Punto Digital de Los Cocos: dispositivos para adultos mayores,Videoconferencias,Otra videoconferencia,--,0,5,10,0,15,0.00 %,2021-01-01
CHUBUT,Rawson (Chubut),Rawson Produce,Servicio municipal,Capacitación,--,0,5,15,0,20,0.01 %,2021-01-01
CHUBUT,Rawson (Chubut),Detectar,Servicio municipal,Articulacion municipales,--,0,0,5,0,5,0.00 %,2021-01-01
CHUBUT,Río Mayo,Reunión operativa Capacitaciones Hospital Rural Rio Mayo,Servicio municipal,Capacitación,--,0,0,15,0,15,0.00 %,2021-01-01
CHUBUT,Río Mayo,Tramites generales,Trámites,Trámites en general,Constancia de inscripción,0,5,0,0,5,0.00 %,2021-01-01
CHUBUT,El Hoyo,secretariado administrativo,Manos a la obra,Inserción laboral,--,0,0,0,0,0,0.00 %,2021-01-01
